canonical_skill,category,common_aliases
SQLite,Databases & Data Tools,Sqlite3
Redis,Databases & Data Tools,Redis Cache
Cassandra,Databases & Data Tools,Apache Cassandra
DynamoDB,Databases & Data Tools,Dynamo DB
Elasticsearch,Databases & Data Tools,Elastic Search;ELK Stack
Snowflake,Databases & Data Tools,Snowflake DB
Apache Kafka,Databases & Data Tools,Kafka
Apache Spark,Databases & Data Tools,PySpark;Spark
Apache Hadoop,Databases & Data Tools,Hadoop
Apache Airflow,Databases & Data Tools,Airflow
Apache Hive,Databases & Data Tools,Hive
Databricks,Databases & Data Tools,Data Bricks
ETL,Databases & Data Tools,Extract Transform Load
Data Warehousing,Databases & Data Tools,Data Warehouse
Firebase,Databases & Data Tools,Firebase DB;Firestore
AWS,Cloud & DevOps,Amazon Web Services
Microsoft Azure,Cloud & DevOps,Azure
Google Cloud Platform,Cloud & DevOps,GCP;Google Cloud
Docker,Cloud & DevOps,Docker Containers
Kubernetes,Cloud & DevOps,K8s
Jenkins,Cloud & DevOps,Jenkins CI
CI/CD,Cloud & DevOps,Continuous Integration Continuous Deployment;CICD
Terraform,Cloud & DevOps,Hashicorp Terraform
Ansible,Cloud & DevOps,Ansible Automation
Git,Cloud & DevOps,Git VCS
GitHub,Cloud & DevOps,Git Hub
GitLab,Cloud & DevOps,Git Lab
Linux Administration,Cloud & DevOps,Linux;Linux Admin
Nginx,Cloud & DevOps,NGINX Server
Prometheus,Cloud & DevOps,Prometheus Monitoring
Grafana,Cloud & DevOps,Grafana Dashboards
AWS Lambda,Cloud & DevOps,Lambda Functions;Serverless AWS
Amazon EC2,Cloud & DevOps,EC2
Amazon S3,Cloud & DevOps,S3;Simple Storage Service
Serverless Architecture,Cloud & DevOps,Serverless
Site Reliability Engineering,Cloud & DevOps,SRE
Machine Learning,Data Science/ML/AI,ML
Deep Learning,Data Science/ML/AI,DL
Natural Language Processing,Data Science/ML/AI,NLP
Computer Vision,Data Science/ML/AI,CV
Artificial Intelligence,Data Science/ML/AI,AI
Generative AI,Data Science/ML/AI,GenAI;Gen AI
Large Language Models,Data Science/ML/AI,LLM;LLMs
Prompt Engineering,Data Science/ML/AI,Prompt Design
Data Analysis,Data Science/ML/AI,Data Analytics
Data Visualization,Data Science/ML/AI,Data Viz
Statistical Analysis,Data Science/ML/AI,Statistics;Applied Statistics
Predictive Modeling,Data Science/ML/AI,Predictive Analytics
Feature Engineering,Data Science/ML/AI,Feature Selection
Time Series Analysis,Data Science/ML/AI,Time Series Forecasting
A/B Testing,Data Science/ML/AI,AB Testing;Split Testing
MLOps,Data Science/ML/AI,ML Ops
Model Deployment,Data Science/ML/AI,Model Serving
Neural Networks,Data Science/ML/AI,ANN
Reinforcement Learning,Data Science/ML/AI,RL
Data Mining,Data Science/ML/AI,Data Mining Techniques
Recommender Systems,Data Science/ML/AI,Recommendation Engines
Figma,Design Tools,Figma Design
Adobe XD,Design Tools,AdobeXD;XD
Sketch,Design Tools,Sketch App
Adobe Photoshop,Design Tools,Photoshop;PS
Adobe Illustrator,Design Tools,Illustrator;AI (Adobe)
InVision,Design Tools,Invision App
Canva,Design Tools,Canva Design
Wireframing,Design Tools,Wireframes
Prototyping,Design Tools,Interactive Prototyping
Design Systems,Design Tools,Component Libraries
User Research,Design Tools,UX Research
Usability Testing,Design Tools,User Testing
Adobe After Effects,Design Tools,After Effects;AE
Adobe Premiere Pro,Design Tools,Premiere Pro
Communication Skills,Soft/Professional Skills,Verbal Communication;Written Communication
Stakeholder Management,Soft/Professional Skills,Stakeholder Communication
Team Leadership,Soft/Professional Skills,People Management;Leadership
Problem Solving,Soft/Professional Skills,Analytical Thinking
Time Management,Soft/Professional Skills,Prioritization
Cross-functional Collaboration,Soft/Professional Skills,Cross Functional Teamwork
Presentation Skills,Soft/Professional Skills,Public Speaking
Project Management,Soft/Professional Skills,PM
Agile Methodology,Soft/Professional Skills,Agile;Scrum
Client Communication,Soft/Professional Skills,Client Handling
Microsoft Excel,Business/Analytics Tools,MS Excel;Excel
Power BI,Business/Analytics Tools,PowerBI;Power-BI
Tableau,Business/Analytics Tools,Tableau Software
Google Analytics,Business/Analytics Tools,GA;GA4
Google Sheets,Business/Analytics Tools,GSheets
Microsoft PowerPoint,Business/Analytics Tools,MS PowerPoint;PPT
SAP,Business/Analytics Tools,SAP ERP
Salesforce,Business/Analytics Tools,SFDC
JIRA,Business/Analytics Tools,Jira Software
Google Data Studio,Business/Analytics Tools,Looker Studio
VLOOKUP,Business/Analytics Tools,V Lookup
Pivot Tables,Business/Analytics Tools,Excel Pivot Tables
SEO,Business/Analytics Tools,Search Engine Optimization
SEM,Business/Analytics Tools,Search Engine Marketing
Google Ads,Business/Analytics Tools,AdWords;Google AdWords
Social Media Marketing,Business/Analytics Tools,SMM
Email Marketing,Business/Analytics Tools,Email Campaigns
Content Marketing,Business/Analytics Tools,Content Strategy
Assembly Language,Programming Languages,ASM;Assembly
Visual Basic,Programming Languages,VB;VB.NET
VBA,Programming Languages,Visual Basic for Applications
Groovy,Programming Languages,Groovy Lang
Haskell,Programming Languages,Haskell Lang
Lua,Programming Languages,Lua Scripting
Julia,Programming Languages,Julia Lang
COBOL,Programming Languages,Cobol Programming
F#,Programming Languages,F Sharp;FSharp
Svelte,Frameworks & Libraries,SvelteJS;Svelte.js
Ember.js,Frameworks & Libraries,EmberJS
ASP.NET Core,Frameworks & Libraries,AspNet Core;ASP.NET
Symfony,Frameworks & Libraries,Symfony PHP
CodeIgniter,Frameworks & Libraries,Code Igniter
NestJS,Frameworks & Libraries,Nest.js
Gatsby,Frameworks & Libraries,GatsbyJS
D3.js,Frameworks & Libraries,D3;D3JS
Three.js,Frameworks & Libraries,ThreeJS
Matplotlib,Frameworks & Libraries,Matplotlib Library
Seaborn,Frameworks & Libraries,Seaborn Library
XGBoost,Frameworks & Libraries,XG Boost
LightGBM,Frameworks & Libraries,Light GBM
Hugging Face Transformers,Frameworks & Libraries,HuggingFace;Transformers Library
LangChain,Frameworks & Libraries,Lang Chain
Playwright,Frameworks & Libraries,Playwright Testing
Mocha,Frameworks & Libraries,Mocha.js;Mocha Testing
Webpack,Frameworks & Libraries,Web Pack
Vite,Frameworks & Libraries,ViteJS
MariaDB,Databases & Data Tools,Maria DB
IBM Db2,Databases & Data Tools,DB2
Neo4j,Databases & Data Tools,Neo4J Graph DB
InfluxDB,Databases & Data Tools,Influx DB
Google BigQuery,Databases & Data Tools,BigQuery
Amazon Redshift,Databases & Data Tools,Redshift
Apache NiFi,Databases & Data Tools,NiFi
Talend,Databases & Data Tools,Talend ETL
dbt,Databases & Data Tools,Data Build Tool
Presto,Databases & Data Tools,PrestoDB;Trino
ClickHouse,Databases & Data Tools,Click House
Chef,Cloud & DevOps,Chef Automation
Puppet,Cloud & DevOps,Puppet Automation
CircleCI,Cloud & DevOps,Circle CI
Travis CI,Cloud & DevOps,TravisCI
Vagrant,Cloud & DevOps,Vagrant VM
Helm,Cloud & DevOps,Helm Charts
Istio,Cloud & DevOps,Istio Service Mesh
OpenShift,Cloud & DevOps,Red Hat OpenShift
Identity and Access Management,Cloud & DevOps,IAM
AWS CloudFormation,Cloud & DevOps,CloudFormation
Google Kubernetes Engine,Cloud & DevOps,GKE
Azure DevOps,Cloud & DevOps,AzureDevOps
Bitbucket,Cloud & DevOps,Bit Bucket
Data Cleaning,Data Science/ML/AI,Data Cleansing
Data Wrangling,Data Science/ML/AI,Data Munging
Exploratory Data Analysis,Data Science/ML/AI,EDA
Hypothesis Testing,Data Science/ML/AI,Statistical Hypothesis Testing
Regression Analysis,Data Science/ML/AI,Regression Modeling
Classification,Data Science/ML/AI,Classification Models
Clustering,Data Science/ML/AI,Cluster Analysis
Dimensionality Reduction,Data Science/ML/AI,PCA;Dimension Reduction
Anomaly Detection,Data Science/ML/AI,Outlier Detection
Speech Recognition,Data Science/ML/AI,ASR;Automatic Speech Recognition
Text Mining,Data Science/ML/AI,Text Analytics
Vector Databases,Data Science/ML/AI,Vector DB;Vector Store
Retrieval Augmented Generation,Data Science/ML/AI,RAG
Fine-tuning,Data Science/ML/AI,Model Fine Tuning
Transfer Learning,Data Science/ML/AI,Transfer Learning Models
Balsamiq,Design Tools,Balsamiq Wireframes
Framer,Design Tools,Framer Design
Zeplin,Design Tools,Zeplin App
Miro,Design Tools,Miro Board
Adobe InDesign,Design Tools,InDesign
Procreate,Design Tools,Procreate App
Negotiation,Soft/Professional Skills,Negotiation Skills
Conflict Resolution,Soft/Professional Skills,Conflict Management
Mentoring,Soft/Professional Skills,Coaching
Critical Thinking,Soft/Professional Skills,Analytical Reasoning
Adaptability,Soft/Professional Skills,Flexibility
Emotional Intelligence,Soft/Professional Skills,EQ
QuickBooks,Business/Analytics Tools,Quick Books
Looker,Business/Analytics Tools,Looker BI
Alteryx,Business/Analytics Tools,Alteryx Designer
Minitab,Business/Analytics Tools,Minitab Statistics
SAS,Business/Analytics Tools,SAS Software
SPSS,Business/Analytics Tools,IBM SPSS
Google Tag Manager,Business/Analytics Tools,GTM
Google Search Console,Business/Analytics Tools,GSC
Facebook Ads Manager,Business/Analytics Tools,Meta Ads Manager
Zapier,Business/Analytics Tools,Zapier Automation
Asana,Business/Analytics Tools,Asana PM
Trello,Business/Analytics Tools,Trello Boards
Monday.com,Business/Analytics Tools,Monday
Notion,Business/Analytics Tools,Notion App
Slack,Business/Analytics Tools,Slack Messaging
Microsoft Teams,Business/Analytics Tools,MS Teams
Confluence,Business/Analytics Tools,Atlassian Confluence
Business Development,Business/Analytics Tools,BD;BizDev
Sales,Business/Analytics Tools,Sales Management;B2B Sales
Financial Analysis,Business/Analytics Tools,Financial Modeling;Finance Analysis
Market Research,Business/Analytics Tools,Market Analysis
Quality Assurance,Cloud & DevOps,QA;Software Testing
Operations Management,Business/Analytics Tools,Operations
Process Improvement,Business/Analytics Tools,Process Optimization
Software Development,Programming Languages,Software Engineering
Application Development,Programming Languages,App Development
